SEZIONE,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MASTELLA NOI DI CENTRO EUROPEISTI,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,UNIONE POPOLARE CON DE MAGISTRIS,VITA,PIU-EUROPA,TOTALE,AFFLUENZA
1,32,31,12,86,2,1,5,16,0,16,1,1,78,5,1,8,295,0.766233766
2,36,71,18,95,3,2,1,8,0,24,1,2,102,11,3,14,391,0.631663974
3,19,75,14,119,0,6,9,10,1,27,4,1,123,5,2,14,429,0.693053312
4,36,78,24,107,1,8,6,11,1,34,3,0,110,13,3,30,465,0.735759494
5,37,70,23,98,0,5,4,5,0,16,5,0,98,19,3,30,413,0.717013889
6,40,59,29,93,0,7,9,14,1,28,1,2,135,17,2,21,458,0.707882535
7,43,80,14,70,0,5,6,11,2,44,4,2,184,19,1,23,508,0.734104046
8,40,54,11,69,0,4,3,9,0,41,1,1,136,12,2,26,409,0.705172414
9,42,44,18,88,1,2,10,7,0,33,1,1,100,19,2,28,396,0.674616695
10,53,39,24,65,2,3,9,15,0,26,0,3,149,28,1,24,441,0.685847589
11,32,36,12,58,0,4,7,13,0,21,2,1,122,17,1,24,350,0.736842105
12,49,35,9,42,0,4,8,3,0,43,3,2,113,39,9,25,384,0.67486819
13,27,26,8,39,0,1,7,7,0,24,2,2,80,17,1,16,257,0.683510638
14,56,37,9,67,1,7,6,12,0,44,2,2,143,27,1,21,435,0.713114754
15,72,56,19,91,2,7,8,10,0,42,3,3,129,18,5,23,488,0.737160121
16,42,41,15,81,0,0,3,9,1,34,1,3,136,26,1,19,412,0.678747941
17,53,36,15,64,3,4,3,20,0,47,0,3,186,33,5,28,500,0.750750751
18,44,79,16,115,0,8,9,16,0,32,2,4,161,17,5,27,535,0.747206704
19,27,94,14,125,0,3,3,12,0,31,6,1,157,17,2,18,510,0.75
20,25,102,37,158,0,4,5,16,0,20,6,4,103,3,5,28,516,0.754385965
21,51,47,11,94,2,6,7,4,0,31,3,3,168,33,4,27,491,0.740573152
22,55,71,31,122,1,5,2,14,0,40,1,2,173,9,1,29,556,0.731578947
23,55,101,13,122,2,2,9,13,1,28,4,1,176,15,2,31,575,0.824964132
24,41,107,27,135,0,5,5,19,0,31,2,1,151,13,9,17,563,0.750666667
25,52,67,15,7,1,4,12,13,0,39,109,3,104,17,8,18,469,0.718223583
26,39,59,19,106,2,1,17,25,0,37,5,2,160,31,7,19,529,0.775659824
27,48,68,6,80,0,1,13,9,0,38,3,0,155,13,3,24,461,0.725984252
28,42,83,26,113,2,7,5,16,0,36,3,0,153,24,4,23,537,0.767142857
29,34,57,12,78,0,9,9,10,0,34,0,0,122,19,4,24,412,0.691275168
30,58,50,22,90,0,5,11,13,0,43,2,1,163,23,4,31,516,0.71468144
31,55,66,16,76,1,3,6,13,0,39,5,3,169,25,6,37,520,0.725244073
32,45,45,14,83,3,3,6,10,1,69,2,1,173,20,7,22,504,0.743362832
33,55,47,12,80,0,5,9,18,0,47,1,2,152,19,3,33,483,0.69
34,25,34,10,88,1,5,8,15,0,48,2,3,157,12,3,21,432,0.687898089
35,46,42,11,96,0,6,6,11,0,54,2,4,186,25,5,17,511,0.753687316
36,51,62,12,91,0,4,8,20,0,34,1,3,160,15,5,26,492,0.742081448
37,32,56,28,94,1,8,2,26,0,27,2,0,186,16,2,27,507,0.716101695
38,44,39,13,89,1,6,9,25,0,44,3,1,121,11,2,12,420,0.672
39,45,44,14,89,0,8,5,21,0,40,0,2,162,13,5,21,469,0.667140825
40,14,102,22,120,0,2,6,22,0,18,6,2,115,6,5,27,467,0.759349593
41,44,69,19,92,0,9,12,21,0,50,1,3,139,15,5,24,503,0.689986283
42,51,34,15,76,2,7,9,19,0,39,1,5,149,12,4,19,442,0.667673716
43,40,75,12,99,1,8,8,20,0,32,9,3,201,8,6,14,536,0.758132956
44,19,66,33,116,2,6,8,20,1,20,5,5,106,13,6,19,445,0.709728868
45,37,87,29,119,2,6,8,14,1,61,0,2,156,11,3,27,563,0.516988062
46,56,44,18,79,0,9,6,14,0,36,3,2,137,13,5,33,455,0.731511254
47,33,71,22,108,2,5,4,9,0,44,3,2,148,15,2,17,485,0.746153846
48,42,60,20,114,0,10,7,12,1,43,2,3,119,10,3,35,481,0.757480315
49,60,79,24,112,2,3,5,14,0,38,1,3,155,15,5,38,554,0.731836196
50,34,68,20,127,0,7,1,12,1,43,3,1,109,10,4,26,466,0.674384949
51,44,94,27,108,1,9,4,16,0,39,5,2,136,10,3,28,526,0.719562244
52,30,64,14,117,0,4,3,23,0,24,2,0,122,6,2,19,430,0.731292517
53,51,69,18,86,3,3,9,12,1,55,4,2,159,16,4,28,520,0.781954887
54,49,31,13,70,0,4,8,10,1,32,1,0,111,17,5,17,369,0.620168067
55,55,70,23,99,0,4,3,17,0,37,2,2,131,36,3,24,506,0.711673699
56,40,60,13,91,4,8,6,18,1,48,2,1,164,16,3,26,501,0.738938053
57,36,57,11,114,2,8,1,24,0,42,3,2,118,7,1,26,452,0.731391586
58,29,51,24,118,0,4,8,18,0,45,0,2,97,15,3,18,432,0.768683274
59,42,37,20,93,2,3,11,17,0,41,2,1,124,24,1,11,429,0.7383821
60,27,48,17,75,0,7,4,5,0,31,3,0,128,13,7,13,378,0.684782609
61,34,59,20,70,1,9,4,11,1,42,5,3,139,17,5,28,448,0.711111111
62,35,53,13,54,0,3,8,19,0,41,2,2,112,9,2,26,379,0.67921147
63,49,31,14,108,1,7,8,24,1,48,6,1,160,21,3,26,508,0.760479042
64,28,37,13,93,0,9,8,13,0,41,7,2,124,24,5,17,421,0.647692308
65,42,56,14,49,0,6,6,16,1,50,2,2,172,25,1,24,466,0.65819209
66,56,64,12,87,1,8,10,23,0,57,1,3,207,15,9,32,585,0.747126437
67,52,53,16,71,1,2,14,12,0,57,2,6,137,15,1,31,470,0.700447094
68,50,39,17,58,1,7,19,15,0,43,0,1,145,17,4,19,435,0.697115385
69,53,33,14,72,1,5,3,15,0,39,2,4,158,15,3,22,439,0.68273717
70,25,35,9,65,3,5,7,11,0,48,1,2,126,15,5,25,382,0.670175439
71,45,44,13,96,1,9,7,15,0,42,5,2,202,15,2,17,515,0.679419525
72,47,37,20,80,0,7,8,17,0,54,0,5,134,17,3,11,440,0.672782875
73,38,33,11,71,1,4,2,14,1,61,0,2,192,15,6,16,467,0.694940476
74,26,26,12,73,1,3,7,13,0,34,0,0,198,9,2,20,424,0.682769726
75,56,60,15,93,1,3,7,13,1,56,3,1,192,20,1,28,550,0.731382979
76,26,17,14,39,3,5,6,16,0,50,1,2,74,12,2,7,274,0.518939394
77,48,49,8,78,0,7,13,10,0,59,2,4,159,27,6,29,499,0.668005355
78,22,20,23,102,2,2,11,17,0,49,2,1,111,8,8,12,390,0.656565657
79,47,38,19,112,1,4,9,13,1,47,3,1,128,13,5,18,459,0.736757624
80,24,20,16,97,1,5,5,13,0,34,2,1,109,5,2,9,343,0.658349328
81,44,37,11,79,2,10,9,20,0,55,1,3,166,14,7,17,475,0.620915033
82,49,27,10,48,3,2,9,19,1,52,1,4,142,9,5,18,399,0.610091743
83,36,38,12,81,1,4,2,13,0,50,0,1,133,14,2,16,403,0.713274336
84,30,62,16,81,1,2,3,8,1,27,8,1,108,8,1,11,368,0.71042471
85,57,49,10,84,0,6,6,11,0,34,1,0,123,15,2,31,429,0.684210526
86,29,75,25,100,1,7,4,12,0,35,1,1,105,13,2,18,428,0.68921095
87,26,58,16,93,0,6,8,10,0,25,4,0,124,17,2,34,423,0.74471831
88,56,26,7,58,2,8,2,10,0,30,1,3,112,28,2,26,371,0.692164179
89,37,66,7,61,0,1,7,8,0,27,0,2,118,16,3,16,369,0.748478702
90,42,51,20,83,1,6,9,17,0,30,3,0,115,22,3,23,425,0.695581015
91,63,48,11,63,0,2,5,8,0,38,2,1,135,27,4,24,431,0.691813804
92,75,39,6,50,2,1,5,13,0,43,1,3,125,27,2,17,409,0.66504065
93,44,49,12,78,0,3,9,6,1,27,3,1,140,22,4,34,433,0.724080268
94,44,22,9,36,0,1,11,3,0,26,0,0,97,17,0,14,280,0.579710145
95,52,50,7,58,1,4,4,6,0,46,2,1,147,29,0,19,426,0.705298013
96,45,35,11,62,2,1,3,18,0,40,0,3,117,4,1,15,357,0.674858223
97,66,36,12,55,0,2,7,14,0,51,1,1,120,25,4,27,421,0.68903437
98,35,66,13,88,1,2,4,13,0,30,4,3,138,9,6,16,428,0.718120805
99,30,72,26,121,1,3,4,15,0,55,6,1,184,15,2,31,566,0.702233251
100,51,48,16,60,0,2,4,7,0,35,1,1,124,20,1,16,386,0.683185841
101,50,56,16,59,0,2,4,19,1,36,2,2,136,19,1,31,434,0.698872786
102,53,65,14,78,1,7,12,10,0,55,2,3,169,29,3,25,526,0.710810811
103,35,72,22,75,0,2,15,16,0,42,3,1,114,19,1,15,432,0.703583062
104,49,99,21,104,2,5,6,13,0,32,7,2,184,16,7,30,577,0.714993804
105,60,61,17,70,2,4,8,21,0,34,5,3,143,22,0,24,474,0.689956332
106,49,43,7,62,2,6,6,14,0,46,3,1,185,12,3,25,464,0.663805436
107,57,26,11,70,1,6,8,17,0,44,0,1,155,30,2,31,459,0.667151163
108,34,19,7,60,1,2,7,14,0,56,2,1,149,19,4,14,389,0.604976672
109,74,43,10,79,0,8,7,12,0,42,0,4,203,29,4,30,545,0.726666667
110,31,44,10,58,4,3,4,14,0,30,10,3,143,10,1,20,385,0.588685015
111,34,19,14,74,3,8,11,20,1,49,0,5,141,23,5,15,422,0.60982659
112,43,62,7,59,0,5,2,11,1,53,3,3,159,20,5,27,460,0.683506686
113,51,56,15,81,1,7,9,18,0,36,3,4,158,16,3,23,481,0.727685325
114,42,64,28,110,0,5,11,16,0,30,1,1,170,21,5,30,534,0.729508197
115,26,40,20,78,3,2,12,25,1,57,3,4,151,14,5,26,467,0.597951344
116,51,44,5,51,1,1,9,17,0,44,3,1,150,16,1,27,421,0.708754209
117,35,63,21,96,3,5,3,15,1,45,6,2,189,9,7,28,528,0.726272352
118,34,29,2,71,0,2,1,8,1,22,0,2,74,9,4,14,273,0.642352941
119,44,53,12,83,1,5,6,14,0,66,3,1,169,8,2,17,484,0.725637181
120,63,60,15,89,2,6,4,12,0,43,1,2,139,17,1,30,484,0.719167905
121,43,50,14,102,4,6,9,17,0,63,3,0,146,13,8,17,495,0.741017964
122,38,50,11,84,1,10,7,11,0,51,2,2,151,12,1,13,444,0.752542373
123,47,96,26,118,1,9,5,19,0,59,10,4,203,7,1,31,636,0.730195178
124,38,22,10,46,0,7,8,17,0,72,2,3,116,13,2,21,377,0.626245847
125,39,25,10,64,2,4,6,16,1,50,2,1,128,16,1,23,388,0.640264026
126,36,52,16,93,3,2,6,12,1,40,0,0,136,13,3,24,437,0.730769231
127,51,59,16,106,4,13,12,28,0,68,7,3,211,26,1,22,627,0.683751363
128,31,30,12,61,2,4,5,17,0,43,0,0,139,13,3,21,381,0.628712871
129,49,43,14,99,1,5,9,18,1,49,1,2,115,18,3,20,447,0.626928471
130,39,43,17,89,4,11,3,21,0,65,6,5,143,28,4,21,499,0.680763984
131,16,63,20,106,2,9,1,28,0,77,3,2,167,9,4,17,524,0.703355705
132,32,55,30,133,5,5,0,28,0,54,5,6,245,12,1,23,634,0.718006795
133,31,76,18,138,3,7,5,26,1,67,2,3,203,16,2,24,622,0.778473091
134,30,34,11,75,3,7,14,29,2,76,4,2,129,11,2,11,440,0.607734807
135,15,25,18,83,1,8,3,26,0,35,1,3,135,5,4,11,373,0.630067568
136,17,53,20,112,0,9,7,16,0,44,4,2,131,7,3,17,442,0.635057471
137,40,48,18,97,1,7,15,24,1,36,2,3,127,11,8,17,455,0.665204678
138,11,61,19,134,0,2,1,15,0,18,4,1,83,7,4,15,375,0.684306569
139,28,107,29,107,0,3,6,11,0,12,6,2,97,12,1,11,432,0.72
140,49,52,18,78,1,1,9,16,0,31,1,5,127,13,2,23,426,0.690437601
141,35,48,17,65,1,5,2,14,0,28,1,0,100,9,6,11,342,0.626373626
142,19,97,22,131,0,3,5,9,0,17,3,1,80,5,3,16,411,0.737881508
143,31,76,28,91,0,1,8,6,1,21,2,2,118,11,3,24,423,0.71092437
144,35,64,27,107,0,3,8,12,0,27,2,2,129,20,1,27,464,0.722741433
145,29,88,17,115,1,4,8,7,0,29,8,0,120,10,3,19,458,0.739903069
146,40,79,14,107,0,7,2,7,1,21,4,0,122,12,1,18,435,0.725
147,59,69,18,70,0,2,12,10,1,51,2,1,156,14,2,28,495,0.723684211
148,58,46,18,61,1,3,4,11,0,34,2,1,106,23,4,33,405,0.72972973
149,49,55,14,54,0,8,9,11,1,37,1,0,125,18,1,19,402,0.737614679
150,43,65,13,66,0,1,6,9,0,16,4,0,121,7,5,30,386,0.732447818
151,57,60,26,91,0,4,4,17,0,38,1,7,128,16,1,16,466,0.744408946
152,32,103,16,114,1,5,2,13,0,25,3,0,120,8,2,19,463,0.770382696
153,43,79,18,79,1,6,4,9,0,40,4,2,120,13,6,23,447,0.731587561
154,28,116,17,110,0,0,6,8,0,29,6,0,129,10,5,24,488,0.75192604
155,42,92,25,126,0,9,6,10,1,26,4,1,183,12,2,24,563,0.732119636
156,27,96,14,112,2,3,2,12,0,20,6,1,132,8,2,26,463,0.755301794
157,23,117,23,127,0,7,7,9,0,33,4,0,154,11,0,29,544,0.764044944
158,42,87,21,152,0,5,4,17,0,29,6,1,148,13,1,22,548,0.767507003
159,27,143,28,174,0,2,3,14,0,20,4,1,131,1,1,17,566,0.774281806
160,36,78,23,120,0,4,6,11,0,38,4,3,135,13,3,22,496,0.746987952
161,36,75,17,75,0,2,5,16,0,23,3,2,151,9,2,10,426,0.711185309
162,45,86,21,89,1,3,6,9,0,23,3,2,155,5,4,22,474,0.732612056
163,36,85,12,103,1,2,4,10,0,28,5,2,135,10,1,27,461,0.7203125
164,27,117,20,123,2,3,6,12,1,34,3,0,112,11,2,19,492,0.754601227
165,46,96,17,108,2,4,5,14,4,29,4,3,149,10,8,19,518,0.776611694
166,26,97,22,121,1,7,7,19,0,28,3,2,144,7,2,24,510,0.76119403
167,34,92,19,101,4,13,11,22,0,23,4,1,125,10,4,29,492,0.734328358
168,34,93,17,94,0,0,3,10,1,31,5,2,137,8,1,33,469,0.746815287
169,26,50,11,91,4,3,8,11,0,35,2,1,136,15,2,26,421,0.714770798
170,34,48,13,67,0,7,5,9,1,38,0,4,176,15,4,20,441,0.7056
171,42,67,12,68,2,3,10,23,1,32,2,1,171,16,1,27,478,0.711309524
172,25,94,21,145,2,5,4,17,0,16,5,4,152,3,4,16,513,0.719495091
173,49,96,17,100,1,9,9,13,0,38,4,2,191,11,9,29,578,0.734434562
174,42,53,19,124,0,7,10,20,1,35,3,0,141,6,0,21,482,0.742681048
175,34,54,13,93,1,7,5,12,0,24,4,1,166,7,5,36,462,0.721875
176,37,62,21,91,0,2,7,12,0,27,2,0,134,19,4,15,433,0.712171053
177,44,55,7,68,0,8,6,17,0,38,3,5,150,18,6,22,447,0.732786885
178,31,51,11,89,5,4,15,12,0,57,2,2,165,10,2,17,473,0.733333333
179,44,31,5,64,0,13,1,17,1,56,2,2,145,13,2,28,424,0.697368421
180,17,56,13,77,0,8,5,6,0,40,3,3,142,20,1,19,410,0.676567657
181,30,60,11,102,3,4,1,10,1,37,0,2,146,10,3,19,439,0.7582038
182,26,31,14,69,2,4,1,12,0,40,3,6,117,13,4,12,354,0.705179283
183,28,44,20,97,0,3,10,20,0,46,0,2,161,9,2,17,459,0.720565149
184,42,46,12,108,0,8,4,7,0,51,3,2,151,9,11,32,486,0.72
185,41,32,10,53,1,7,3,15,0,47,1,6,161,25,6,21,429,0.703278689
186,33,59,8,63,2,6,8,10,0,42,2,3,143,12,3,41,435,0.692675159
187,38,57,10,91,1,11,6,22,0,34,0,1,168,6,3,16,464,0.696696697
188,42,61,16,96,1,5,10,28,0,45,1,3,139,5,3,19,474,0.680057389
189,20,99,29,140,2,2,8,7,0,31,1,1,109,4,8,25,486,0.445462878
190,32,113,30,156,0,8,7,10,1,33,0,3,118,9,3,22,545,0.771954674
191,25,108,27,144,3,7,8,11,0,21,4,0,139,8,4,25,534,0.787610619
192,21,67,31,129,0,8,4,21,0,37,1,2,153,12,6,26,518,0.711538462
193,21,123,38,167,1,8,0,22,0,18,10,1,96,6,4,20,535,0.759943182
194,32,123,31,160,3,0,3,17,1,15,7,4,132,11,5,16,560,0.756756757
195,28,101,21,127,0,3,8,10,0,28,3,2,148,11,5,33,528,0.754285714
196,23,84,26,117,0,5,2,15,0,29,1,2,85,8,1,23,421,0.729636049
197,42,101,33,157,1,7,7,22,0,21,0,0,125,11,7,17,551,0.790530846
198,55,39,25,98,1,10,9,13,0,70,1,0,212,20,10,25,588,0.694214876
199,56,60,24,128,2,8,6,27,0,71,2,6,257,30,3,23,703,0.712259372
200,69,60,22,106,3,12,19,44,0,87,4,6,226,21,8,34,721,0.704789834
201,38,42,13,102,2,11,3,22,0,73,0,1,173,9,5,26,520,0.694259012
202,26,67,26,87,1,4,9,17,0,47,4,0,194,11,5,17,515,0.718270572
203,37,22,24,99,2,4,10,27,0,57,1,4,183,15,3,22,510,0.650510204
204,46,49,32,109,2,7,7,33,0,66,2,5,232,15,12,30,647,0.722905028
205,42,37,11,94,0,8,10,24,0,62,4,2,176,19,4,24,517,0.696765499
206,33,39,18,89,1,10,15,20,0,52,0,2,158,6,2,11,456,0.718110236
207,47,66,31,134,3,11,10,26,0,71,0,3,213,12,5,25,657,0.69893617
208,26,21,14,72,0,7,8,24,0,45,0,4,132,11,5,14,383,0.564896755
209,43,32,13,84,4,4,8,26,0,55,0,3,185,7,6,25,495,0.668016194
210,36,44,17,90,1,7,4,14,1,45,11,1,138,19,1,28,457,0.737096774
211,36,53,15,113,4,10,14,35,0,57,2,4,217,11,10,19,600,0.774193548
212,46,86,22,156,1,16,9,40,1,83,3,1,212,3,12,27,718,0.737166324
213,43,53,14,88,1,2,9,22,0,50,6,4,197,7,4,20,520,0.717241379
214,30,48,22,71,0,3,12,19,0,46,3,0,197,18,4,18,491,0.7671875
215,33,37,19,81,2,7,10,18,0,23,1,1,126,15,3,20,396,0.691099476
216,19,44,18,98,0,0,7,17,0,48,3,3,163,3,2,21,446,0.66966967
217,24,31,21,97,0,4,7,24,1,69,2,2,195,18,6,26,527,0.702666667
