SEZIONE,UNIONE POPOLARE CON DE MAGISTRIS,ITALEXIT PER L'ITALIA,+EUROPA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ITALIA SOVRANA E POPOLARE,MOVIMENTO 5 STELLE,VITA,AZIONE - ITALIA VIVA - CALENDA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,MASTELLA NOI DI CENTRO EUROPEISTI,TOTALE,AFFLUENZA
328,14,8,25,53,1,166,7,71,4,38,24,89,22,13,0,572,0.699266504
329,5,10,21,40,0,163,11,37,5,72,26,79,24,22,0,564,0.739187418
330,11,9,36,45,2,166,5,42,2,53,23,91,23,8,0,558,0.756097561
331,6,22,24,21,2,137,2,59,1,48,29,110,29,11,1,544,0.656212304
332,11,13,23,23,0,73,16,52,3,85,35,125,42,20,0,581,0.686761229
333,4,5,28,44,1,132,8,52,2,59,28,71,19,7,1,504,0.697095436
334,7,3,23,25,2,126,9,38,2,54,14,76,23,14,0,449,0.699376947
335,18,8,21,56,1,125,9,46,0,65,25,94,17,25,0,544,0.740136054
336,3,10,17,20,0,91,6,29,3,63,22,88,18,11,8,412,0.663446055
337,11,13,24,50,1,175,4,56,0,63,45,102,28,20,1,642,0.718924972
338,9,19,27,52,5,110,8,61,6,29,18,63,21,15,0,465,0.685840708
339,7,9,34,27,3,134,10,33,1,69,20,79,27,10,0,498,0.738872404
340,6,7,21,31,3,138,7,33,2,69,22,62,18,13,0,468,0.75483871
341,9,11,25,21,1,124,10,42,1,119,24,105,25,26,0,591,0.778656126
342,10,3,29,38,0,136,4,35,3,86,24,128,27,18,0,579,0.76284585
343,19,5,29,46,1,168,14,56,1,87,23,90,21,11,2,618,0.731360947
344,20,8,26,51,2,117,17,33,3,65,13,53,9,13,0,480,0.689655172
345,13,9,28,37,2,143,4,32,3,88,20,98,25,21,1,549,0.744911805
346,9,9,33,54,1,214,7,59,2,53,29,109,28,14,0,698,0.74493063
347,8,5,22,30,4,135,6,28,4,101,29,102,26,14,0,564,0.750998668
348,11,4,25,39,3,151,8,28,2,69,16,62,30,15,0,494,0.777952756
349,4,8,18,42,1,132,9,42,2,55,16,77,27,7,1,493,0.754977029
350,14,8,24,28,1,155,13,63,2,70,36,93,30,13,0,594,0.73605948
351,6,7,35,40,30,35,10,24,8,90,20,83,52,25,2,510,0.804416404
352,5,4,23,23,1,82,8,24,0,121,21,99,45,19,1,499,0.777258567
353,10,13,23,39,2,161,9,48,4,55,16,57,20,4,1,490,0.651595745
354,5,14,35,35,2,160,8,40,0,105,27,99,32,23,0,628,0.780124224
355,7,3,31,35,1,135,12,43,3,121,23,128,26,22,0,642,0.770708283
356,6,12,32,33,4,140,9,49,0,67,20,123,33,24,1,583,0.755181347
357,3,6,31,26,1,156,14,31,4,63,19,115,28,23,0,551,0.777150917
358,7,13,19,27,0,110,8,33,0,78,26,124,34,16,1,539,0.719626168
359,6,15,24,18,2,78,17,93,6,67,43,115,41,12,0,576,0.283883687
360,2,10,35,30,2,125,12,75,3,64,61,111,35,9,0,629,0.730545877
361,0,17,27,25,0,111,9,34,4,72,30,58,158,26,1,613,0.736778846
362,7,8,19,30,3,104,10,51,2,75,27,94,37,18,1,529,0.765557164
363,3,8,21,16,1,119,6,31,6,85,23,99,34,12,0,505,0.754857997
364,5,15,33,29,0,154,6,52,3,81,16,131,38,12,0,601,0.718899522
365,4,5,32,16,3,136,15,43,3,92,23,130,34,28,0,598,0.727493917
366,8,11,18,29,0,103,5,34,2,61,18,89,28,15,0,456,0.74025974
367,5,4,41,24,4,192,1,36,0,102,24,150,50,26,0,709,0.787777778
368,5,2,21,27,2,129,5,38,0,79,21,101,27,15,0,492,0.756923077
369,4,0,3,2,1,30,0,10,1,5,12,26,1,1,0,102,102
370,3,5,19,3,0,69,4,21,1,51,17,102,18,9,0,337,0.757303371
371,2,5,17,18,0,85,2,39,2,66,20,92,16,11,0,400,0.744878957
372,2,11,13,17,0,108,4,46,2,78,29,161,38,19,0,564,0.713924051
373,5,7,24,25,3,113,9,50,0,58,28,106,35,20,0,513,0.698910082
374,4,9,24,20,0,111,3,35,9,52,29,82,25,8,1,445,0.694227769
375,11,3,15,24,2,106,9,46,1,74,22,90,37,15,0,490,0.704022989
376,13,4,18,24,2,106,8,47,0,49,16,112,45,11,0,489,0.680111266
377,2,7,28,17,0,118,4,32,2,93,35,154,45,27,0,598,0.753148615
378,8,3,18,18,0,93,12,26,2,58,43,121,31,18,2,491,0.70042796
379,5,14,19,17,2,121,1,42,0,47,21,126,40,18,0,520,0.722222222
380,9,18,19,21,0,158,12,49,4,50,26,106,28,23,0,576,0.693140794
381,10,14,27,31,2,141,9,49,3,51,31,116,39,12,1,569,0.708592777
382,7,11,15,27,2,149,11,75,3,50,39,129,39,11,0,617,0.695603157
383,7,19,21,24,1,159,6,49,4,41,35,87,16,8,0,530,0.671736375
384,2,13,24,25,2,167,13,63,4,41,34,133,38,12,2,608,0.709451575
385,5,14,27,20,2,152,6,54,4,63,47,126,23,14,0,596,0.685057471
386,11,11,30,23,3,107,1,42,4,56,35,120,29,14,0,528,0.671755725
387,5,10,26,20,5,136,12,69,2,67,38,116,39,16,0,595,0.68233945
388,3,8,12,13,1,101,6,28,3,96,26,128,37,32,1,536,0.792899408
389,6,8,25,15,1,103,6,33,4,104,45,153,33,20,0,590,0.732009926
390,7,9,22,15,6,98,7,49,3,43,29,101,18,16,0,466,0.659123055
391,5,5,24,18,1,133,5,35,3,99,38,154,38,17,0,664,0.72967033
392,7,7,24,19,0,119,7,52,2,68,25,109,29,14,0,511,0.780152672
393,4,9,29,15,1,141,4,29,0,134,20,207,51,26,0,732,0.828992072
394,2,11,24,17,2,113,8,29,2,106,18,164,56,21,1,608,0.763819095
395,2,6,24,17,0,117,6,25,1,72,18,116,31,14,0,502,0.731778426
396,3,7,35,25,0,102,3,18,0,138,25,134,48,35,2,601,0.693995381
397,0,6,26,20,1,111,6,32,2,103,31,142,28,32,0,574,0.707768187
398,2,11,23,31,0,94,1,24,0,69,22,104,23,17,0,453,0.770408163
399,5,1,28,26,1,182,13,42,6,67,32,142,38,20,0,653,0.751438435
400,5,12,28,25,5,136,5,39,2,78,34,102,27,35,0,576,0.75
401,13,4,20,20,2,132,6,49,0,76,38,90,24,11,0,513,0.80533752
402,6,6,24,27,2,135,4,46,7,57,28,97,32,14,0,519,0.708049113
403,3,13,29,29,6,139,9,42,1,138,37,142,30,28,0,695,0.750539957
404,2,5,26,12,0,98,2,38,2,80,31,157,38,9,0,531,0.668765743
405,1,5,14,13,0,73,2,13,3,103,22,148,44,20,0,500,0.777604977
406,4,11,25,13,1,117,10,24,3,152,39,165,51,21,0,683,0.723516949
407,7,9,19,21,2,101,3,30,4,116,30,190,54,26,2,669,0.770737327
408,2,6,27,11,4,132,4,31,2,114,17,156,39,32,0,622,0.742243437
409,1,7,13,16,1,92,11,32,2,78,18,93,37,24,0,455,0.739837398
410,1,3,19,19,0,127,11,49,2,66,45,128,21,7,0,528,0.710632571
411,3,8,10,10,0,85,5,35,6,91,25,159,47,26,0,547,0.732262383
412,2,8,25,13,0,105,4,23,1,104,33,204,40,28,0,639,0.806818182
413,2,12,22,20,2,101,8,35,1,65,22,101,30,11,0,479,0.690201729
414,0,7,23,4,14,113,7,48,1,76,32,113,40,18,0,538,0.758815233
415,8,7,15,10,0,88,2,42,3,65,33,128,33,25,0,499,0.723188406
416,3,7,27,20,0,124,13,50,4,93,30,134,29,33,0,611,0.756188119
417,7,12,30,16,2,134,6,34,1,89,37,159,48,23,1,642,0.75440658
418,7,14,30,19,0,148,5,35,2,46,24,101,29,13,1,518,0.737891738
419,2,7,12,22,0,112,7,50,2,41,25,74,11,21,1,425,0.601131542
420,6,7,12,18,3,107,3,48,6,40,42,96,26,12,0,491,0.68767507
421,3,7,5,7,5,53,4,36,2,15,30,59,6,2,0,254,0.686486486
422,0,2,0,4,4,34,1,11,2,11,7,21,10,2,1,123,20.5
423,0,0,1,5,0,26,0,11,0,4,9,23,5,2,0,92,#DIV/0!
424,0,2,2,3,0,13,1,0,1,5,7,20,8,0,0,80,#DIV/0!
425,7,7,17,11,2,72,4,44,0,29,23,92,29,11,0,378,0.633165829
426,7,4,19,17,4,96,12,48,0,39,23,94,18,10,0,434,0.658573596
427,4,5,22,12,1,95,14,55,1,32,38,89,47,12,0,479,0.680397727
428,7,14,30,20,1,173,4,49,5,71,35,113,20,19,1,616,0.696832579
429,6,13,16,23,1,114,12,71,3,48,31,86,18,7,0,480,0.701754386
430,8,13,20,24,3,118,7,46,9,58,41,103,23,9,0,522,0.597254005
431,8,6,21,25,1,95,8,52,3,31,25,78,20,5,0,437,0.632416787
432,5,9,22,20,3,79,8,41,2,44,22,86,20,5,0,404,0.690598291
433,4,7,12,26,6,126,7,48,1,24,39,94,15,10,0,488,0.637075718
434,3,9,17,35,1,114,9,47,5,43,23,78,16,19,1,461,0.653900709
435,7,7,13,18,1,90,9,61,2,31,20,56,23,6,1,382,0.636666667
436,7,11,15,22,0,114,5,48,2,24,29,72,18,8,1,423,0.678972713
437,4,14,21,23,0,114,7,65,3,42,39,74,19,8,1,475,0.664335664
438,7,12,24,20,1,101,3,68,1,28,33,103,14,10,0,455,0.641748942
439,9,12,22,22,0,96,13,66,2,23,28,70,22,6,1,428,0.694805195
440,9,6,17,20,4,126,2,63,2,34,32,83,23,13,0,471,0.694690265
441,6,11,17,23,4,102,10,54,4,18,31,86,18,4,0,430,0.686900958
442,6,5,21,27,1,95,6,58,3,26,35,87,25,6,1,445,0.635714286
443,5,5,20,22,4,113,5,41,0,37,44,104,22,15,0,480,0.712166172
444,5,8,23,24,1,90,4,38,8,36,16,79,15,7,0,390,0.705244123
445,17,7,22,37,3,117,15,40,4,52,27,81,25,10,0,489,0.701578192
446,9,12,23,43,2,100,6,61,2,29,29,78,17,5,0,454,0.684766214
447,6,8,14,22,0,120,12,63,7,56,38,83,31,7,0,518,0.684280053
448,9,15,14,36,2,126,7,75,1,33,32,92,36,6,1,529,0.65551425
449,5,7,25,29,4,99,10,59,4,29,28,75,25,12,1,453,0.624827586
450,4,1,0,0,2,14,0,2,0,2,2,7,6,1,0,53,0.258536585
451,0,1,0,2,0,9,0,2,1,1,3,8,4,3,1,45,0.323741007
452,5,15,19,33,1,158,12,74,5,41,37,119,19,22,2,611,0.698285714
453,5,13,17,24,1,132,11,75,2,27,24,64,21,14,0,472,0.708708709
454,4,7,23,31,4,122,5,60,6,35,33,88,16,12,0,485,0.69683908
455,10,20,14,12,1,95,8,45,4,36,21,82,16,9,0,401,0.605740181
456,3,13,23,19,1,98,5,42,6,42,38,93,12,8,0,454,0.691019787
457,19,14,18,28,2,99,10,70,1,32,18,69,19,4,0,443,0.654357459
458,10,4,17,38,0,106,6,66,1,20,20,64,17,3,0,412,0.664516129
459,9,5,21,31,2,104,9,63,3,26,33,75,22,5,0,453,0.654624277
460,5,12,21,26,1,119,7,58,3,31,42,87,13,8,0,490,0.623409669
461,5,11,20,58,2,163,12,70,2,36,75,35,14,16,0,559,0.625279642
462,9,6,16,23,0,94,6,38,3,29,19,72,14,4,0,375,0.679347826
463,1,4,14,21,6,111,5,67,2,40,35,119,21,9,0,505,0.672436751
464,7,11,14,29,3,109,8,47,4,41,46,98,27,4,0,478,0.661134163
465,0,0,18,23,4,91,0,0,0,0,25,89,30,5,0,396,0.61875
466,13,6,12,23,1,116,8,63,0,40,42,89,13,11,0,476,0.635514019
467,7,6,11,11,1,128,12,55,4,30,41,109,36,9,1,498,0.663115846
468,4,12,13,27,4,78,3,62,1,19,30,51,13,3,0,347,0.601386482
469,6,18,20,21,3,85,6,81,1,32,37,100,30,5,0,484,0.633507853
470,11,18,21,26,2,99,7,65,7,41,37,77,34,10,0,490,0.639686684
471,4,13,12,18,1,91,9,44,4,14,30,74,7,7,2,360,0.594059406
472,12,14,15,25,1,113,9,83,4,29,34,98,24,9,0,516,0.623941959
473,7,3,15,21,0,114,6,53,3,15,33,83,25,7,1,422,0.703333333
474,8,13,18,28,1,103,8,78,3,23,32,75,35,4,0,468,0.649098474
475,7,13,5,16,2,109,8,41,6,34,36,109,23,6,0,453,0.632681564
476,7,7,10,18,0,55,10,61,2,19,28,59,11,4,0,316,0.542955326
477,4,13,12,26,0,80,3,83,4,23,25,83,18,3,0,429,0.620839363
478,6,12,15,15,2,81,9,50,4,19,29,79,22,3,1,378,0.494764398
479,10,12,10,12,0,66,4,55,0,18,26,47,15,4,1,292,0.535779817
480,15,3,6,13,2,103,4,69,2,6,33,56,10,2,0,349,0.560192616
481,6,8,9,22,1,102,8,56,1,9,26,62,11,4,1,348,0.571428571
482,6,13,6,25,3,136,9,60,2,22,34,63,15,2,1,435,0.655120482
483,5,8,6,13,2,96,6,60,4,16,38,94,14,3,0,414,0.656101426
484,10,9,10,13,2,80,6,62,6,16,41,54,12,2,0,342,0.502941176
485,2,10,3,10,3,89,6,62,1,21,28,69,16,7,0,368,0.608264463
486,5,7,15,21,3,64,4,76,6,17,41,85,21,5,0,415,0.586158192
487,3,5,5,9,3,45,2,68,3,15,22,43,10,4,0,263,0.545643154
488,4,7,7,13,0,66,4,45,3,19,21,52,9,5,0,274,0.545816733
489,6,13,9,27,0,75,2,62,1,9,33,82,16,9,0,383,0.618739903
491,11,12,17,26,3,75,9,103,1,26,41,96,18,6,0,496,0.602673147
492,5,9,16,20,5,72,8,84,4,24,35,76,27,6,0,438,0.577836412
493,6,10,9,22,3,127,5,51,3,31,55,101,23,10,0,492,0.673050616
494,8,4,20,27,2,115,5,67,5,25,31,78,20,20,0,472,0.650137741
495,8,3,7,16,3,79,11,70,2,23,37,68,24,12,2,396,0.613003096
496,3,3,4,7,1,60,5,43,4,18,31,67,14,4,1,298,0.596
497,5,4,20,16,2,82,8,61,2,9,24,72,16,5,1,368,0.58692185
498,6,9,13,31,4,82,9,75,6,31,45,99,16,5,1,478,0.626474443
499,5,10,14,21,3,114,8,75,3,22,47,73,27,15,1,491,0.641830065
500,9,8,14,21,1,72,5,64,5,13,30,62,18,11,0,371,0.578783151
501,2,7,10,22,0,84,7,66,0,16,27,80,15,3,0,353,0.623674912
502,7,6,14,11,1,87,6,40,0,31,22,56,23,5,0,332,0.628787879
503,3,10,13,15,2,71,5,60,3,38,29,78,19,6,0,375,0.569044006
504,11,14,12,20,4,89,9,45,4,21,25,68,18,9,1,379,0.609324759
505,11,8,10,11,1,99,13,70,2,14,32,87,32,14,1,439,0.641812865
506,14,25,21,30,2,174,6,69,4,44,34,106,22,10,0,604,0.667403315
507,4,4,8,17,3,79,0,56,2,5,37,51,19,2,0,316,0.575591985
508,14,10,9,22,6,120,3,62,2,24,32,90,13,9,2,447,0.656387665
509,10,12,11,29,1,116,6,51,3,22,38,76,26,7,1,440,0.625
510,4,14,13,11,0,95,6,51,0,19,44,65,16,2,0,364,0.587096774
511,3,5,8,12,1,91,6,92,0,17,35,73,27,6,1,411,0.553162853
512,11,15,13,15,1,93,6,60,4,15,52,106,18,8,0,480,0.584652862
513,10,9,9,16,5,80,4,57,1,22,40,62,27,6,0,384,0.626427406
514,7,7,11,16,5,90,7,49,6,18,30,71,12,8,0,370,0.609555189
515,5,8,12,15,1,95,1,61,6,25,39,88,23,0,0,406,0.586705202
516,8,11,10,21,1,98,9,67,5,19,38,66,20,6,1,424,0.62170088
517,9,13,7,30,2,98,10,75,2,26,21,73,21,3,0,420,0.579310345
518,7,7,8,15,5,86,8,66,3,22,36,82,26,8,0,416,0.622754491
519,8,15,10,17,4,100,3,75,7,23,30,72,21,5,0,431,0.632892805
520,5,14,13,14,3,72,8,70,2,10,30,66,14,5,0,356,0.57605178
521,8,17,15,29,3,107,4,96,2,26,28,52,18,6,0,460,0.655270655
522,3,11,13,15,1,116,5,60,0,37,28,85,24,13,0,441,0.712439418
523,11,8,22,29,1,147,5,71,6,46,34,99,32,14,0,568,0.707347447
524,4,1,1,11,0,30,2,21,0,2,3,20,2,0,0,103,0.730496454
525,2,5,16,14,4,68,7,81,2,19,42,58,21,5,5,375,0.534950071
526,4,12,10,14,3,88,6,61,4,14,45,81,24,8,0,407,0.589001447
527,7,11,15,11,1,77,8,70,2,21,38,84,16,4,2,408,0.584527221
528,5,15,18,14,5,66,4,60,1,11,36,48,28,7,0,346,0.525835866
529,7,13,11,22,2,55,7,61,1,16,30,66,30,4,0,373,0.563444109
530,12,3,8,10,1,86,7,42,2,16,22,49,15,6,1,318,0.602272727
531,4,7,7,17,3,60,4,57,4,8,20,57,12,6,0,283,0.550583658
532,4,9,14,23,6,87,3,61,3,16,33,52,19,1,0,368,0.641114983
533,1,15,12,33,4,72,5,46,2,22,22,55,25,5,0,345,0.636531365
534,6,15,15,19,2,92,3,81,5,20,41,66,12,3,0,420,0.601719198
535,13,9,17,17,3,52,7,78,5,9,40,49,17,8,1,362,0.604340568
536,5,14,11,20,2,86,5,64,5,14,30,85,14,5,3,413,0.550666667
537,10,8,14,24,3,134,9,96,9,27,45,123,25,10,0,592,0.614107884
538,8,12,14,24,3,107,4,52,0,22,30,85,36,10,0,454,0.611036339
539,7,3,8,21,1,65,3,48,4,18,35,71,29,8,0,346,0.645522388
540,12,6,11,20,2,132,11,55,8,34,50,23,97,8,0,513,0.656850192
541,12,5,19,30,1,105,8,70,3,29,24,72,25,8,0,443,0.670196672
542,5,12,13,20,2,58,5,66,1,15,32,53,14,5,1,331,0.598553345
543,6,14,9,13,0,91,2,35,3,12,29,55,21,5,0,318,0.634730539
544,3,14,15,16,3,110,7,66,2,13,35,67,15,8,0,403,0.619047619
545,12,9,11,17,0,70,11,62,1,12,35,72,13,5,0,359,0.533432392
546,4,7,13,17,1,67,10,56,4,5,35,64,16,7,0,329,0.552013423
547,2,8,5,16,1,78,10,44,3,19,42,72,16,2,2,341,0.531981279
548,10,21,17,30,1,147,13,73,5,26,52,100,25,15,0,585,0.677867903
549,2,4,5,13,0,105,4,50,2,10,33,67,20,7,0,354,0.547140649
550,4,11,11,16,2,67,3,52,2,6,32,48,10,2,0,293,0.449386503
551,3,9,4,15,1,71,2,60,1,14,29,83,28,4,0,368,0.519774011
552,7,5,13,10,1,81,4,51,4,24,28,66,20,7,1,351,0.551886792
553,6,9,7,12,1,92,4,63,1,17,48,70,23,8,0,387,0.581954887
554,3,14,6,14,2,81,5,62,3,18,42,93,26,6,0,433,0.629360465
555,4,8,9,17,2,78,5,83,1,15,36,79,16,4,0,389,0.576296296
556,2,11,14,10,3,79,5,69,1,16,45,85,11,0,0,386,0.599378882
557,0,16,11,20,3,65,8,64,0,18,35,78,21,1,1,373,0.509562842
558,4,8,11,13,1,90,4,53,4,13,23,54,18,3,0,320,0.570409982
559,5,6,14,6,14,83,6,68,3,16,36,83,28,5,1,411,0.549465241
560,9,12,8,28,2,58,9,76,5,14,42,71,19,6,0,404,0.569816643
561,14,4,8,1,17,80,4,104,0,18,36,63,23,1,4,412,0.570637119
562,3,13,13,19,1,111,5,72,4,23,24,63,13,7,0,411,0.678217822
563,4,15,8,13,1,102,7,72,9,18,38,73,16,9,0,426,0.648401826
564,5,8,20,18,2,90,6,98,0,16,44,84,16,3,1,454,0.614343708
565,2,19,15,16,2,110,15,46,1,9,33,70,19,4,0,391,0.70323741
566,12,14,5,8,1,80,3,72,5,14,27,78,24,8,0,396,0.552301255
567,4,12,12,20,4,102,13,57,1,17,43,79,31,8,1,436,0.632801161
568,6,7,13,9,3,67,9,57,3,26,21,79,19,4,0,356,0.550231839
569,12,9,16,15,1,86,9,65,2,19,40,74,21,4,0,408,0.584527221
570,2,16,12,12,0,83,8,61,3,18,40,73,17,5,0,389,0.587613293
571,9,15,15,27,3,114,4,85,3,28,59,127,32,6,1,591,0.707784431
572,6,10,4,17,4,100,7,77,0,15,56,85,21,7,0,468,0.621513944
573,7,19,21,29,1,138,10,101,2,22,38,84,23,17,0,549,0.668696711
574,3,6,4,14,1,56,2,55,0,14,37,41,9,3,0,337,0.504491018
575,11,14,25,22,3,176,15,80,3,36,41,87,23,23,0,613,0.673626374
576,10,15,12,10,5,78,8,64,3,10,46,90,30,11,0,440,0.581241744
577,5,10,10,15,2,64,5,55,1,19,36,84,19,1,0,366,0.582802548
578,3,9,4,13,2,66,7,42,1,18,39,85,16,5,0,343,0.502196193
579,0,9,12,16,0,112,3,26,0,36,30,92,39,15,0,421,0.677938808
580,10,6,28,30,1,126,10,40,5,46,35,84,23,7,2,509,0.702068966
581,9,9,13,11,1,100,9,83,4,13,39,104,23,6,0,469,0.605943152
582,2,4,14,12,3,70,5,31,1,18,38,73,13,6,0,309,0.653276956
583,1,4,10,15,1,46,5,28,1,2,15,24,11,0,0,178,0.669172932
584,6,9,19,26,6,101,13,80,6,20,49,105,19,7,1,510,0.6375
585,2,9,9,14,1,78,4,74,2,11,37,61,22,9,0,365,0.551359517
586,7,19,14,24,5,134,8,75,3,22,43,95,24,2,0,509,0.624539877
587,8,8,7,26,2,97,8,73,5,14,33,76,20,9,0,418,0.582984658
588,5,9,10,18,1,64,5,59,5,21,37,82,15,3,0,367,0.547761194
589,10,12,18,23,3,152,10,67,1,35,21,87,18,10,0,517,0.607520564
590,6,13,14,19,1,153,4,69,6,29,47,91,24,10,0,541,0.634232122
591,1,15,15,28,1,112,3,69,4,23,51,102,16,14,0,488,0.657681941
592,10,13,10,26,2,92,12,69,2,18,44,74,13,8,0,431,0.54556962
593,6,18,14,24,0,126,10,68,3,25,38,86,23,6,0,484,0.622107969
594,9,10,19,30,1,97,14,61,2,37,29,91,16,8,0,454,0.696319018
595,3,10,14,33,2,126,3,77,3,23,30,69,19,16,0,471,0.675753228
596,8,10,7,24,3,74,6,56,1,17,18,85,14,5,0,363,0.629116118
597,9,13,14,34,4,120,9,69,3,24,30,84,15,9,2,490,0.657718121
598,1,14,8,12,0,63,13,68,1,13,13,59,11,8,0,328,0.583629893
599,7,9,11,22,2,54,5,60,0,12,43,58,22,8,0,351,0.558917197
600,13,9,16,20,2,102,6,68,2,22,50,83,10,4,0,464,0.611330698
601,6,7,8,16,0,103,11,56,4,31,48,77,19,6,0,437,0.61898017
602,4,9,8,19,1,74,4,37,1,12,32,60,16,3,0,332,0.610294118
603,5,9,7,22,0,94,6,54,3,30,21,77,17,3,1,372,0.632653061
604,5,7,24,20,1,75,6,66,4,23,28,74,18,5,0,385,0.574626866
605,1,5,17,17,2,110,2,52,6,29,18,103,26,10,0,433,0.659056317
606,8,2,15,24,2,103,5,60,2,34,43,100,32,7,0,485,0.71958457
607,7,10,13,16,0,84,13,53,2,28,26,86,19,6,2,405,0.619266055
608,5,9,13,23,2,83,6,43,0,32,28,97,17,8,1,417,0.686985173
609,9,10,13,27,3,100,11,61,2,21,25,73,13,4,1,401,0.6265625
610,6,5,20,23,0,136,7,62,3,19,29,68,16,3,0,428,0.672955975
611,6,7,30,16,2,148,5,46,0,69,31,110,29,14,0,565,0.70536829
612,7,13,26,30,2,140,5,51,2,58,20,132,43,11,0,579,0.772
613,7,6,34,26,0,132,5,59,3,61,23,133,29,23,0,586,0.730673317
614,4,10,27,28,1,137,10,51,7,76,46,118,34,19,0,625,0.726744186
615,6,16,19,18,0,109,10,52,5,36,22,117,25,12,1,485,0.685997171
616,6,7,18,28,2,102,9,52,1,31,28,72,15,2,0,413,0.643302181
617,6,7,15,40,2,112,5,41,9,39,38,83,21,6,1,475,0.639300135
618,1,12,11,19,4,116,9,43,5,27,21,86,18,18,0,426,0.667711599
619,0,0,24,26,1,121,0,0,0,0,19,72,16,10,0,428,0.693679092
620,5,14,28,32,1,165,4,67,4,53,22,106,25,17,0,584,0.682242991
621,5,9,30,34,2,133,6,58,4,83,52,126,34,14,1,649,0.721913237
622,6,7,16,21,1,112,9,46,0,52,19,93,28,12,0,453,0.71563981
623,4,11,21,32,0,129,10,69,0,34,40,84,24,7,0,502,0.614443084
624,6,9,17,34,0,96,9,54,4,42,33,88,25,7,0,449,0.686544343
625,2,10,29,26,3,117,7,47,3,47,31,80,22,11,0,464,0.701966717
626,9,12,31,24,2,143,12,50,2,82,32,92,39,16,1,596,0.76508344
627,4,14,42,32,2,138,13,64,3,55,37,93,34,10,1,577,0.745478036
628,1,12,35,18,0,108,11,28,3,83,47,173,44,31,1,627,0.768382353
629,3,8,16,16,0,106,10,36,4,65,38,111,32,17,0,499,0.710826211
630,4,9,15,28,2,143,17,42,6,70,32,139,22,12,0,568,0.773841962
631,3,11,21,16,1,153,6,41,5,74,28,151,37,21,0,619,0.741317365
632,3,11,18,16,2,98,9,62,1,29,25,90,24,6,1,437,0.611188811
633,5,9,28,25,1,100,10,52,1,46,25,90,21,16,0,473,0.674750357
634,4,7,16,15,1,81,6,41,1,60,24,126,22,26,0,464,0.709480122
635,3,9,17,25,2,106,3,40,2,47,25,106,27,4,0,450,0.70754717
636,4,6,21,25,1,88,5,56,2,41,19,96,18,15,0,425,0.667189953
637,3,9,13,10,1,99,3,28,2,39,26,71,27,13,0,373,0.66726297
638,0,7,16,23,0,95,13,36,0,40,20,82,17,8,0,380,0.699815838
639,6,9,22,31,1,156,11,72,3,54,49,144,31,20,0,656,0.70613563
640,5,14,14,10,1,110,2,45,0,47,40,120,25,5,1,477,0.648097826
641,6,1,4,7,2,33,6,15,1,13,9,35,6,1,1,154,0.57037037
642,3,9,18,12,1,114,14,52,2,36,29,82,32,12,0,444,0.697017268
643,5,16,17,23,2,143,5,56,1,52,38,106,21,10,1,530,0.692810458
644,1,7,15,17,1,94,2,34,0,56,19,73,23,15,2,400,0.71942446
645,0,2,26,26,4,106,6,64,0,39,38,125,32,11,1,531,0.696850394
646,4,10,17,32,4,123,10,33,1,43,48,115,39,8,0,525,0.693527081
647,6,6,23,22,2,116,8,53,2,51,43,117,32,22,1,544,0.704663212
648,3,10,19,27,4,126,7,37,5,43,31,102,20,14,0,495,0.710186514
649,2,13,20,31,0,123,6,38,3,41,27,95,19,11,1,467,0.673881674
650,3,8,12,19,0,98,8,38,4,72,31,107,30,14,0,482,0.737003058
651,6,8,14,21,0,105,3,44,4,52,26,112,24,15,0,489,0.668032787
652,3,16,15,45,0,147,19,79,3,21,39,108,21,8,0,570,0.671378092
653,4,11,20,29,3,119,4,66,7,46,31,116,30,12,0,559,0.6287964
654,1,0,0,7,0,17,2,1,0,1,5,13,1,1,1,55,#DIV/0!
655,0,0,1,6,0,7,0,3,0,0,1,6,0,0,0,26,#DIV/0!
656,1,2,1,4,0,8,0,5,0,1,0,1,0,0,0,24,#DIV/0!
